locus_tag	ins_index.NSTY	ins_index.WTTY
R7A2020_03325	0.040	0.062
R7A2020_03330	0.053	0.058
R7A2020_03335	0.050	0.057
R7A2020_03340	0.052	0.060
R7A2020_03345	0.072	0.070
R7A2020_03350	0.057	0.060
R7A2020_03355	0.073	0.080
R7A2020_03360	0.007	0.027
R7A2020_03360	0.007	0.027
R7A2020_03365	0.046	0.036
R7A2020_03370	0.052	0.038
R7A2020_03375	0.036	0.038
R7A2020_03380	0.046	0.056
R7A2020_03385	0.048	0.045
R7A2020_03390	0.043	0.062
R7A2020_03395	0.043	0.062
R7A2020_03400	0.050	0.041
R7A2020_03405	0.068	0.054
R7A2020_03410	0.060	0.059
R7A2020_03415	0.052	0.066
R7A2020_03420	0.045	0.056
R7A2020_03425	0.056	0.058
R7A2020_03430	0.068	0.066
R7A2020_03435	0.118	0.059
R7A2020_03440	0.026	0.033
R7A2020_03445	0.037	0.054
R7A2020_03450	0.080	0.042
R7A2020_03455	0.061	0.064
R7A2020_03460	0.048	0.034
R7A2020_03465	0.019	0.017
R7A2020_03470	0.000	0.000
R7A2020_03475	0.047	0.063
R7A2020_03480	0.011	0.014
R7A2020_03485	0.001	0.001
R7A2020_03490	0.040	0.047
R7A2020_03495	0.056	0.053
R7A2020_03500	0.051	0.069
R7A2020_03505	0.062	0.054
R7A2020_03510	0.019	0.044
R7A2020_03515	0.020	0.020
R7A2020_03520	0.034	0.050
R7A2020_03525	0.049	0.045
R7A2020_03530	0.038	0.063
R7A2020_03535	0.025	0.043
R7A2020_03540	0.051	0.033
R7A2020_03545	0.059	0.048
R7A2020_03550	0.059	0.055
R7A2020_03555	0.040	0.054
R7A2020_03560	0.047	0.046
R7A2020_03565	0.055	0.029
R7A2020_03570	0.047	0.024
R7A2020_03575	0.062	0.077
R7A2020_03580	0.047	0.046
R7A2020_03585	0.034	0.052
R7A2020_03590	0.060	0.060
R7A2020_03595	0.053	0.055
R7A2020_03600	0.060	0.063
R7A2020_03605	0.041	0.036
R7A2020_03610	0.067	0.075
R7A2020_03615	0.060	0.065
R7A2020_03620	0.041	0.062
R7A2020_03625	0.063	0.061
R7A2020_03630	0.028	0.043
R7A2020_03635	0.056	0.035
R7A2020_03640	0.037	0.054
R7A2020_03645	0.056	0.065
R7A2020_03650	0.026	0.022
R7A2020_03655	0.069	0.068
R7A2020_03660	0.046	0.056
R7A2020_03665	0.047	0.061
R7A2020_03670	0.070	0.070
R7A2020_03675	0.025	0.030
R7A2020_03680	0.052	0.050
R7A2020_03685	0.051	0.044
R7A2020_03690	0.044	0.058
R7A2020_03695	0.046	0.058
R7A2020_03700	0.031	0.034
R7A2020_03705	0.055	0.060
R7A2020_03710	0.065	0.093
R7A2020_03715	0.039	0.064
R7A2020_03720	0.045	0.051
R7A2020_03725	0.061	0.066
R7A2020_03730	0.042	0.039
R7A2020_03735	0.053	0.052
R7A2020_03740	0.059	0.054
R7A2020_03745	0.045	0.056
R7A2020_03750	0.041	0.062
R7A2020_03755	0.054	0.066
R7A2020_03760	0.043	0.062
R7A2020_03765	0.020	0.062
R7A2020_03770	0.060	0.061
R7A2020_03775	0.047	0.063
R7A2020_03780	0.041	0.045
R7A2020_03785	0.055	0.045
R7A2020_03790	0.062	0.070
R7A2020_03795	0.048	0.048
R7A2020_03800	0.066	0.059
R7A2020_03805	0.053	0.065
R7A2020_03810	0.053	0.046
R7A2020_03815	0.067	0.063
R7A2020_03820	0.063	0.063
R7A2020_03825	0.063	0.061
R7A2020_03830	0.028	0.047
R7A2020_03835	0.032	0.035
R7A2020_03840	0.077	0.084
R7A2020_03845	0.059	0.049
R7A2020_03850	0.045	0.041
R7A2020_03855	0.061	0.042
R7A2020_03860	0.016	0.014
R7A2020_03865	0.045	0.045
R7A2020_03870	0.046	0.053
R7A2020_03875	0.007	0.005
R7A2020_03880	0.012	0.012
R7A2020_03880	0.012	0.012
R7A2020_03885	0.025	0.027
R7A2020_03890	0.039	0.052
R7A2020_03895	0.065	0.090
R7A2020_03900	0.042	0.062
R7A2020_03905	0.007	0.027
R7A2020_03905	0.007	0.027
R7A2020_03910	0.050	0.060
R7A2020_03915	0.047	0.054
R7A2020_03920	0.034	0.064
R7A2020_03925	0.054	0.049
R7A2020_03930	0.058	0.050
R7A2020_03935	0.043	0.064
R7A2020_03940	0.056	0.061
R7A2020_03945	0.045	0.057
R7A2020_03950	0.059	0.070
R7A2020_03955	0.067	0.089
R7A2020_03960	0.036	0.056
R7A2020_03965	0.035	0.036
R7A2020_03970	0.056	0.063
R7A2020_03975	0.067	0.055
R7A2020_03980	0.082	0.066
R7A2020_03985	0.055	0.082
R7A2020_03990	0.083	0.070
